Year,Mes,Total,Primarias,Secundarias,Terciarias
1993,Enero,60.40769086,70.0616479,69.22275274,55.11729972
1993,Febrero,60.71510596,70.42973909,69.01519633,55.7022926
1993,Marzo,61.79115376,68.61888636,70.52946531,56.68503694
1993,Abril,61.80986131,68.05214673,70.07557969,56.99079426
1993,Mayo,62.17046899,68.62292782,70.11076635,57.51814831
1993,Junio,62.28915539,69.28046924,69.90746291,57.78514484
1993,Julio,62.36184081,70.87337882,69.83557782,57.85999145
1993,Agosto,62.3200965,69.87955389,70.02539075,57.74004626
1993,Septiembre,62.28656765,68.76213583,70.26544766,57.61205641
1993,Octubre,62.341391,68.00475872,70.52612266,57.59563695
1993,Noviembre,62.45778917,68.93627511,70.72437045,57.62634678
1993,Diciembre,62.7630728,71.21831147,71.04567474,57.82326652
1994,Enero,63.0292681,64.63898367,73.25180024,57.37731997
1994,Febrero,62.88121199,67.62369973,72.31097679,57.50338629
1994,Marzo,63.85089952,67.50670875,73.55802329,58.37669717
1994,Abril,64.36110367,67.72161162,74.01229376,58.93226655
1994,Mayo,64.86064339,69.05548584,73.92606136,59.70897283
1994,Junio,65.15650131,71.34517271,73.88563767,60.08759487
1994,Julio,65.09158145,70.56384898,73.83955144,60.0485201
1994,Agosto,65.1796767,69.59643139,74.29922527,59.98732248
1994,Septiembre,65.24468756,68.28531376,74.60722933,59.98927349
1994,Octubre,65.39328729,68.0764394,74.84549997,60.10702425
1994,Noviembre,65.61634063,69.25442903,74.95766221,60.34237697
1994,Diciembre,65.82059894,71.17269657,74.99213261,60.55277155
1995,Enero,65.1023361,74.55534484,73.45393986,60.07463683
1995,Febrero,62.6982629,67.58881257,69.55960807,58.71264619
1995,Marzo,62.77546369,66.69492102,69.36678107,58.98594536
1995,Abril,61.89136954,67.86800273,67.7045569,58.42220973
1995,Mayo,61.74845051,66.84407646,67.06852914,58.59241751
1995,Junio,61.63743236,68.56581846,66.52796439,58.62310691
1995,Julio,61.37196625,68.84946898,66.19365422,58.36748081
1995,Agosto,61.333996,69.36056466,66.32027871,58.21213961
1995,Septiembre,61.27996532,68.58192801,66.43561161,58.10233548
1995,Octubre,61.17379312,67.73118652,66.1434119,58.13506798
1995,Noviembre,61.34528459,69.24228075,66.36964075,58.20921068
1995,Diciembre,61.68429912,72.23993108,66.83077455,58.34767377
1996,Enero,64.59735912,76.35492033,73.09500492,59.37391828
1996,Febrero,63.92384639,74.5883503,72.28663947,58.82898701
1996,Marzo,64.28401573,73.46733128,72.82564891,59.1663523
1996,Abril,64.16851678,71.37537238,72.21351896,59.42111321
1996,Mayo,64.6486052,71.95187855,72.4692497,60.01860666
1996,Junio,64.80353212,73.53543145,72.54347137,60.14550789
1996,Julio,64.96191763,74.37309085,72.88832198,60.16804129
1996,Agosto,65.0122496,72.92888028,73.30163962,60.09589134
1996,Septiembre,65.01508242,71.60580914,73.54590268,60.0339846
1996,Octubre,65.29603811,70.60271635,74.05560578,60.25500268
1996,Noviembre,65.59267479,73.35099205,74.38470551,60.41037963
1996,Diciembre,65.89898948,74.95507298,74.73052105,60.62975744
1997,Enero,67.92226404,77.62482553,78.04221944,61.91831557
1997,Febrero,66.96899144,74.37137448,76.73153201,61.27575262
1997,Marzo,67.00889884,73.69716178,76.65441642,61.41542569
1997,Abril,67.804021,72.00158246,77.19983685,62.47216159
1997,Mayo,68.49394312,73.75862371,77.71710968,63.2023842
1997,Junio,68.86454834,74.68790183,78.00019265,63.59252652
1997,Julio,69.0958845,74.01229511,78.502423,63.7219499
1997,Agosto,69.21245525,72.74105646,79.11803798,63.63651341
1997,Septiembre,69.38346964,71.44601232,79.61772816,63.70230754
1997,Octubre,69.76885053,71.33548791,80.18192957,64.01523428
1997,Noviembre,70.04058162,73.40733326,80.42357039,64.21263286
1997,Diciembre,70.35223638,74.80885751,80.62907566,64.52720206
1998,Enero,72.28125025,71.66688886,84.34906398,65.73580684
1998,Febrero,71.77444503,75.39446921,83.61081949,65.1417017
1998,Marzo,72.95213434,77.83475898,84.93180104,66.17766499
1998,Abril,72.95219467,75.61936848,84.27177746,66.64910534
1998,Mayo,73.38935875,75.74069994,84.46978215,67.23251916
1998,Junio,73.59866353,77.18969563,84.39866802,67.53215589
1998,Julio,73.74377758,77.80655477,84.7128218,67.56137383
1998,Agosto,73.7107116,76.61338009,85.05317062,67.38328624
1998,Septiembre,73.71700111,75.3331855,85.29614484,67.32543542
1998,Octubre,73.79171898,74.22114495,85.44322571,67.4205344
1998,Noviembre,73.85096637,75.76742104,85.41348899,67.45332404
1998,Diciembre,74.00316516,77.43232215,85.44503064,67.59503144
1999,Enero,74.28380696,96.45997413,86.84153656,66.32268119
1999,Febrero,73.49660427,87.93723598,85.53059968,66.21078042
1999,Marzo,74.66177236,85.93129209,86.63626821,67.56820516
1999,Abril,74.57863614,80.79563859,85.88837993,68.10198823
1999,Mayo,75.04751722,81.61413471,85.88502719,68.81059375
1999,Junio,75.29905521,80.55445487,85.81780167,69.30193203
1999,Julio,75.44385087,80.43959034,86.09685725,69.38664969
1999,Agosto,75.47212123,78.28201124,86.41242352,69.36852924
1999,Septiembre,75.55830251,76.65714578,86.72981947,69.41495014
1999,Octubre,75.6479377,75.37786303,86.77381531,69.59845364
1999,Noviembre,75.83177354,76.77121937,86.78783143,69.8138706
1999,Diciembre,76.01691478,78.39588907,86.75851522,70.04332549
2000,Enero,77.93002889,97.68293667,89.18938851,70.79859405
2000,Febrero,77.64867252,84.57262019,89.08323293,71.06837339
2000,Marzo,78.55176506,81.39152242,90.23721098,72.04059833
2000,Abril,78.16571475,77.55672273,89.13326411,72.21959467
2000,Mayo,79.00123282,79.34434057,89.5835187,73.21707555
2000,Junio,79.42461817,80.66984734,89.84759269,73.68180912
2000,Julio,79.45391923,79.29158872,90.11593689,73.65178714
2000,Agosto,79.67102195,77.26876636,90.79437102,73.73038317
2000,Septiembre,79.72589424,75.52894322,91.13427404,73.7203839
2000,Octubre,79.83426325,74.96250005,91.16459312,73.90529883
2000,Noviembre,79.93261984,76.46937587,90.98419945,74.08456866
2000,Diciembre,79.89642664,78.81644221,90.57316835,74.1325227
2001,Enero,79.423458,89.17956017,90.56842068,72.85822868
2001,Febrero,77.92135799,80.0885311,88.65922874,71.96047652
2001,Marzo,78.87019664,79.34970699,89.46938632,73.06995253
2001,Abril,78.53543615,77.92729878,87.92147587,73.45112372
2001,Mayo,79.18516664,80.1275349,88.02212451,74.32192938
2001,Junio,79.42214014,82.76569434,88.03471828,74.56015374
2001,Julio,79.40830768,81.98315622,88.27107248,74.44872567
2001,Agosto,79.55564823,80.85901409,88.82889901,74.43645602
2001,Septiembre,79.41275099,79.40112377,88.9816154,74.1987418
2001,Octubre,79.46883105,78.90507449,88.97586922,74.31634307
2001,Noviembre,79.52565544,81.69221421,88.84570129,74.33745492
2001,Diciembre,79.48955657,83.57930637,88.59552566,74.32108443
